qid,band,pi_en,pi_cm,pi_zh
820161,0-20,-0.009466411584427004,-0.07931359149366889,-0.1347002791550841
1011860,0-20,0.011717919569774925,-0.024264012248283538,-0.09113250899564114
517386,0-20,0.009032041390647172,0.001249961323025548,-0.09186254780922065
954307,0-20,0.00955470104217641,-0.02322880514015004,-0.1135759142048555
1095557,0-20,-0.02569321836600715,-0.08483269151827066,-0.12849624662288153
1096476,0-20,0.011945941452917008,-0.05112462331337686,-0.11210074648920576
1087001,0-20,0.008467683244916568,-0.005337806650569051,-0.07890246665541667
1084906,0-20,0.01974177461777378,-0.018458874209687736,-0.10944669961951416
853882,0-20,-0.02186610862191203,-0.05982129387812268,-0.06828588016562634
582705,0-20,0.03948169395239951,-0.016059332312638033,-0.0798542349580275
1099340,0-20,-0.0193736160291264,-0.054565737043045355,-0.1283414665848917
262280,0-20,-0.011136681850942493,-0.013813981655637741,-0.1188276006323469
1037689,0-20,-0.03191127481057337,-0.06028762759782812,-0.10594666129468866
865616,0-20,0.04425564165834885,0.018925748791422017,-0.09246584496728345
868410,0-20,-0.03750266418662509,-0.0775050235866015,-0.14072124779539544
1097213,0-20,0.007392970664587434,-0.047808651850928516,-0.1469604725076976
1035874,0-20,-0.03841288991785885,-0.03108901874363931,-0.1413821889651354
823421,0-20,-0.021006777589633048,-0.06398552400134862,-0.07824636195631451
1000951,0-20,-0.01786000910044998,-0.07552217060974589,-0.12504460855087454
333486,0-20,-0.0027266042262631338,-0.015587149650141414,-0.10048003330663181
388588,0-20,-0.024112189101489413,-0.04440666733639537,-0.12004918475691916
568841,0-20,0.05335224919529587,0.004315895822401439,-0.08228808777587494
1086384,0-20,-0.04170975616060026,-0.059280700743878825,-0.10554298724541081
212251,0-20,0.028429778383088765,0.008970018335277639,-0.0659384175397121
1047012,0-20,0.017204686230826355,-0.053798984610259705,-0.07064411976324833
610940,0-20,0.00691075855768145,-0.01955461471230448,-0.07490881347838144
77878,0-20,0.02467471468581305,-0.029551625798541162,-0.0924919452161752
6217,0-20,-0.03936200637810933,-0.06730255803961105,-0.11114989103928972
1000681,0-20,-0.00035257734156863077,-0.015249117229648425,-0.08935048476741088
910150,0-20,0.008067381043511821,-0.04856788632495932,-0.12059746005182231
1062511,0-20,-0.0011805469054924547,-0.03406770760765954,-0.11304559216094122
992660,0-20,-0.002843979669878661,-0.04814208988306766,-0.09972196983721435
636434,0-20,0.04362760123778574,-0.018355016366046435,-0.08873279923927843
575146,0-20,0.03469219143634336,0.0020622696597805672,-0.09416439324297245
575407,0-20,0.008540027810388791,0.022759918659981733,-0.0571399326834278
869348,0-20,-0.03900914675395177,-0.08546134876702,-0.1285906433893803
1014132,0-20,-0.0038195025307016482,-0.0755611766748755,-0.12949155750421226
414155,0-20,0.009954516010320415,-0.04304974744962061,-0.10592793830437194
590433,0-20,0.003364030975611712,-0.0390999666324838,-0.11488975714375407
964577,0-20,0.004765509038751496,-0.06265789577432983,-0.1401473707881674
954455,0-20,0.03016145155599395,-0.003681830784238919,-0.0799523549293727
359499,0-20,-0.0004503162183149209,-0.0849366890139964,-0.13773697381274616
403954,0-20,0.016077889191852025,-0.03219940374255621,-0.06348177878496879
54648,0-20,-0.03377760325324933,-0.05171198732684079,-0.12585969889622928
1079815,0-20,0.021165609253603723,-0.022098106615751456,-0.09040279998964698
637234,0-20,-0.010069453461652111,-0.03781961540848427,-0.132928419773166
839878,0-20,0.02730394439702748,-0.011442463506591907,-0.0869453196713979
1100218,0-20,0.02689489636936113,-0.01523391756210677,-0.1044483384029182
1089164,0-20,0.016240670691398132,-0.058375546200223845,-0.12397795980255708
550331,0-20,0.018530369850013897,-0.028157395789429458,-0.11124595957405815
859274,0-20,-0.01265570454994712,-0.02624174091946652,-0.13788989149947142
910818,0-20,-0.014097735260138265,-0.06081223420697069,-0.10967831108749063
653054,0-20,0.0041666773436017795,-0.05889827124916151,-0.12165055225412988
316803,0-20,-0.036181829023109,-0.09244677516920749,-0.11739409858947474
1093881,0-20,-0.0209814765405997,-0.04565646613299358,-0.11834171764546159
234651,0-20,-0.035522629178843496,-0.06217584302567121,-0.1523726457776969
1100732,0-20,0.02172656956092487,-0.020762977891826382,-0.14519548533504853
992193,0-20,0.042028639998779344,4.889289102604985e-05,-0.09627779457886741
831052,0-20,0.00079686659381982,-0.021265654137431835,-0.10164264426353206
994085,0-20,0.027974655658507104,-0.03086122425970846,-0.08583283571369979
594930,0-20,0.004799753002934025,-0.053792142244186734,-0.08396934156643868
65770,0-20,0.03591415370663943,-0.04462436379170265,-0.10280308622123929
655046,0-20,0.015753398022276315,-0.07072837257084734,-0.09922893990218061
822218,0-20,0.015721202066539937,-0.03504837654822378,-0.11116446263888691
820899,0-20,0.040207187104164724,-0.002647953566380312,-0.06484360610889571
697780,0-20,-0.005184929752003823,-0.09126760971952388,-0.11397995763653859
424898,0-20,0.007550224364904023,-0.058240994770855835,-0.11190029509922461
297019,0-20,0.004738180485187312,-0.037084329159248156,-0.10705379690776436
906901,0-20,0.03427492144382428,0.025512509467782014,-0.055202662633118696
1095108,0-20,0.013365712179810165,-0.005366998133579534,-0.06062951172837536
1098725,0-20,0.005577610599537833,-0.05194747077340611,-0.09505593052230893
1098249,0-20,0.015788118889661105,-0.024637660945751712,-0.11636291210850461
1078906,0-20,0.025405008917274513,-0.03508660259862028,-0.10175228569424553
1064852,0-20,-0.05768341952186461,-0.07456714322133923,-0.14578384795561455
