qid,band,r_between_0_1,r,delta,delta_rel,p,d_axis,alpha,residual_norm,r2_local,cos_en,cos_zh,en_tokens,zh_tokens,cm_tokens,en_han,en_latin,zh_han,zh_latin,cm_han,cm_latin
820161,0-20,True,0.1922063269627666,0.3116905987262726,0.48078059240018045,0.12460757791996002,0.6483011245727539,0.8077936355337524,0.3116905987262726,0.738423612714377,0.9436611533164978,0.8142971396446228,12,8,12,0,41,13,0,3,31
1011860,0-20,True,0.6291755575144605,0.3332713842391968,0.4390548382931766,0.47758546471595764,0.7590655088424683,0.3708243264715667,0.3332713842391968,0.41634604739915293,0.8304212093353271,0.9048497080802917,12,13,13,0,37,13,0,3,28
517386,0-20,True,0.1934546249508999,0.30734121799468994,0.42346016259409874,0.1404065489768982,0.7257854342460632,0.8065453432035378,0.30734121799468994,0.7839103501954445,0.9429137110710144,0.781436562538147,21,21,22,0,76,21,0,3,67
954307,0-20,True,0.09025306783226839,0.21303890645503998,0.310365143200656,0.06195094808936119,0.6864137649536133,0.9097469416753176,0.21303890645503998,0.8957466879567023,0.9753883481025696,0.782330334186554,7,8,9,0,29,13,0,2,23
1095557,0-20,True,0.11708564938382002,0.19763179123401642,0.34637194456251996,0.0668063536286354,0.5705767869949341,0.8829143487006346,0.19763179123401642,0.8666236560716635,0.9782392978668213,0.8535785675048828,9,9,10,0,36,15,0,1,35
1096476,0-20,True,0.09752956855303328,0.19060277938842773,0.3212429465929784,0.057867128401994705,0.5933290719985962,0.902470454558153,0.19060277938842773,0.8875420462871079,0.9801610708236694,0.8384755849838257,18,15,20,0,57,26,0,3,57
1087001,0-20,True,0.9081733239515756,0.3579719364643097,0.47380342156398847,0.6861507296562195,0.7555283904075623,0.09182672407888043,0.3579719066619873,0.03620165537566944,0.7005267143249512,0.9335214495658875,10,8,10,0,42,11,0,3,23
1084906,0-20,True,0.25412108030931657,0.24888259172439575,0.5329618457230934,0.11866949498653412,0.46698012948036194,0.7458789733273383,0.24888259172439575,0.6620016112234248,0.9619875550270081,0.9083686470985413,11,10,14,0,51,13,0,2,46
853882,0-20,True,0.8582461594915194,0.2995409369468689,0.4430772277252595,0.5802145600318909,0.6760467886924744,0.14175395322833123,0.2995409369468689,0.09285168083672968,0.7868130803108215,0.9505456686019897,12,10,13,0,38,10,0,3,31
582705,0-20,True,0.050841393827189614,0.19768673181533813,0.28654251099968897,0.03507566452026367,0.6899036765098572,0.9491586085260819,0.19768673181533813,0.916474185508794,0.9798448085784912,0.7660601139068604,14,11,15,0,44,17,0,1,41
1099340,0-20,True,0.33502633880951116,0.24602369964122772,0.5371006196838548,0.1534617841243744,0.4580588638782501,0.6649736567409356,0.24602369964122772,0.6051866889158002,0.9579609632492065,0.9233464598655701,11,9,12,0,39,12,0,2,34
262280,0-20,True,0.03365266018827772,0.0871262475848198,0.21424969157513932,0.013685107231140137,0.40665751695632935,0.9663473395438652,0.0871262475848198,0.9531473717398422,0.9961108565330505,0.9189907908439636,9,9,9,0,23,10,0,1,22
1037689,0-20,True,0.9480824182909916,0.239557683467865,0.3576994163665524,0.6349477171897888,0.6697178483009338,0.05191752174981085,0.239557683467865,0.02063166118646642,0.7697267532348633,0.9707016944885254,7,6,9,0,33,10,0,2,26
865616,0-20,True,0.4331750874152454,0.5257487297058105,0.5429390653287858,0.4194600582122803,0.9683383703231812,0.5668249844930403,0.5257487297058105,0.5215133526779387,0.7738208770751953,0.71116042137146,10,10,12,0,30,13,0,2,26
868410,0-20,True,0.4834020053487751,0.33922383189201355,0.4931173034236534,0.33254051208496094,0.6879171133041382,0.516598029732798,0.33922386169433594,0.5232421756329761,0.8871720433235168,0.8793173432350159,11,10,12,0,33,13,0,2,26
1097213,0-20,True,0.08284041025740894,0.2254878580570221,0.33487847454231606,0.05577995628118515,0.6733423471450806,0.9171595377237803,0.2254878580570221,0.8823658667317549,0.9730219841003418,0.7838859558105469,9,8,11,0,28,8,3,2,24
1035874,0-20,True,0.012172097864880094,0.18042317032814026,0.3032494896995717,0.007241985760629177,0.5949661135673523,0.9878279176349334,0.18042317032814026,0.9138758693510033,0.9836974740028381,0.81101393699646,13,11,14,0,48,16,0,3,43
823421,0-20,True,0.09555361824545439,0.1743297129869461,0.46626707719377625,0.035725951194763184,0.37388381361961365,0.9044463712524603,0.1743297129869461,0.7900337619925698,0.9841665625572205,0.9276293516159058,9,8,11,0,31,8,8,1,28
1000951,0-20,True,0.14058226227178894,0.2615874409675598,0.367287609953513,0.10012467950582504,0.7122141718864441,0.8594177922633556,0.2615874409675598,0.8455634336935761,0.9607735872268677,0.778459370136261,10,11,12,0,37,14,0,2,31
333486,0-20,True,0.04474084315371267,0.10828064382076263,0.20489064590361017,0.023644648492336273,0.5284801721572876,0.9552591591918441,0.10828064382076263,0.9560186767826965,0.9938582181930542,0.8667082786560059,15,11,16,0,35,14,0,2,32
388588,0-20,True,0.4060296089765144,0.33285102248191833,0.5516197289382534,0.24500097334384918,0.6034066677093506,0.5939703970383942,0.33285099267959595,0.5369180530160609,0.9145923852920532,0.8803778290748596,13,11,13,0,52,14,0,4,44
568841,0-20,True,0.48261467956255844,0.22658009827136993,0.5162661774413528,0.21181105077266693,0.43888232111930847,0.517385335416313,0.22658009827136993,0.501082741132375,0.9518988728523254,0.9485499858856201,9,6,11,0,40,10,0,2,37
1086384,0-20,True,0.032121858957931855,0.07194343954324722,0.15346674120788265,0.015058357268571854,0.4687884747982025,0.9678781287250763,0.07194343954324722,0.975475313821736,0.9972987174987793,0.8944766521453857,11,9,12,0,35,11,0,2,31
212251,0-20,True,0.36311793529512526,0.5025047063827515,0.618462930025351,0.2950354218482971,0.8125057816505432,0.6368820707452376,0.5025047063827515,0.5146694501551013,0.8302215933799744,0.7398567795753479,12,10,14,0,33,12,0,3,22
1047012,0-20,True,0.16374427064928007,0.40606817603111267,0.48942568810879067,0.13585583865642548,0.8296830058097839,0.8362559245399471,0.40606817603111267,0.7448638009876583,0.9083259701728821,0.6768561601638794,9,10,10,0,28,11,0,1,25
610940,0-20,True,0.17451850819318782,0.24981750547885895,0.4084064950315021,0.10675094276666641,0.6116883754730225,0.8254814865083259,0.24981750547885895,0.8033567719101982,0.9630978107452393,0.8413147330284119,10,9,11,0,28,9,4,1,26
77878,0-20,True,0.24547835735930823,0.21028165519237518,0.39057329217558817,0.1321636587381363,0.5383923053741455,0.7545216325346362,0.21028165519237518,0.7886716152104347,0.9691572189331055,0.8953800201416016,12,12,15,0,44,13,5,3,32
6217,0-20,True,0.7659017816082295,0.39547377824783325,0.5068553186216712,0.5975947380065918,0.780249834060669,0.23409812882534,0.39547377824783325,0.17581392744648472,0.7432405948638916,0.9051188230514526,11,10,14,0,43,12,0,3,32
1000681,0-20,True,0.09514350673347732,0.1470385044813156,0.29802361721522663,0.04694177955389023,0.4933786988258362,0.9048564472774843,0.1470385044813156,0.9021378190931086,0.9880881309509277,0.8895368576049805,9,10,11,0,34,15,0,2,25
910150,0-20,True,0.14678031047372186,0.2623373866081238,0.3391691068115781,0.11353027820587158,0.7734707593917847,0.8532196642312655,0.2623373866081238,0.8635432684758264,0.9591450095176697,0.7478289604187012,9,10,11,0,37,12,0,2,30
1062511,0-20,True,0.5080492040739547,0.29129233956336975,0.5055332653290792,0.2927420437335968,0.5762080550193787,0.4919508360323207,0.29129233956336975,0.48638576753186136,0.9147254824638367,0.9173979759216309,12,13,16,0,52,18,0,5,45
992660,0-20,True,0.3074042849262609,0.32191234827041626,0.43663656176175697,0.22663524746894836,0.7372546792030334,0.6925956910738409,0.32191234827041626,0.7155899967528585,0.9225045442581177,0.817820131778717,16,12,17,0,56,17,0,2,50
636434,0-20,True,0.24640832730175088,0.46801888942718506,0.454731743126305,0.2536083161830902,1.0292197465896606,0.7535916626566116,0.46801888942718506,0.7330761099469099,0.8583205938339233,0.5896927118301392,13,10,15,0,42,12,0,3,32
575146,0-20,True,0.10127997875450306,0.18719352781772614,0.4560095375310879,0.04157578945159912,0.4105035364627838,0.8987199795980555,0.18719352781772614,0.7952579631468537,0.9816151261329651,0.9144254922866821,11,7,13,0,41,14,0,3,38
575407,0-20,True,0.6882467464042838,0.3340471386909485,0.5157696146385553,0.4457549452781677,0.6476673483848572,0.3117532999047472,0.3340471386909485,0.2675877640237424,0.8448576331138611,0.9238220453262329,11,7,13,0,34,10,0,3,28
869348,0-20,True,0.3969768081545986,0.2749677896499634,0.5993987554377842,0.18210887908935547,0.45873934030532837,0.6030231596949239,0.2749677896499634,0.5030142537831965,0.9456146359443665,0.9239342212677002,12,9,13,0,38,8,10,1,30
1014132,0-20,True,0.45122372825529083,0.3119688034057617,0.4014802238325966,0.3506218194961548,0.7770465016365051,0.5487762021001956,0.3119688034057617,0.651369565032852,0.8898699283599854,0.8604187369346619,10,10,14,0,35,12,0,3,33
414155,0-20,True,0.08779301288859394,0.27531927824020386,0.3439995162202168,0.07026495039463043,0.8003478646278381,0.9122069185888433,0.27531927824020386,0.8754960540262107,0.959631085395813,0.6955891847610474,15,9,18,0,57,12,0,3,56
590433,0-20,True,0.13086624027249777,0.2574487328529358,0.3581751651941413,0.0940638855099678,0.7187788486480713,0.8691337118670505,0.2574487328529358,0.8548241061224549,0.9624360799789429,0.7717257738113403,8,7,10,0,32,10,0,1,28
964577,0-20,True,0.2197134996513769,0.297180712223053,0.5811393156625657,0.11235621571540833,0.5113760232925415,0.7802864519287686,0.297180712223053,0.6432139872331073,0.9495298862457275,0.8762334585189819,9,9,12,0,33,11,0,2,29
954455,0-20,True,0.04647314419407183,0.269133597612381,0.4828880180505164,0.025901418179273605,0.5573416352272034,0.9535268335309092,0.269133597612381,0.795884130115504,0.963448166847229,0.8225692510604858,11,13,14,0,56,15,0,3,51
359499,0-20,True,0.40171280151315514,0.3931405544281006,0.4760768256072858,0.33173131942749023,0.8257922530174255,0.5982871678133971,0.3931405246257782,0.6122982877468892,0.8676974773406982,0.8006722331047058,13,15,16,0,36,16,0,2,32
403954,0-20,True,0.35334108683628757,0.4226488471031189,0.5355453852187401,0.2788544297218323,0.789193332195282,0.6466589257891135,0.4226488471031189,0.5931654896721491,0.8718041777610779,0.7804611921310425,7,11,11,0,20,12,0,3,18
54648,0-20,True,0.45592846485475796,0.2781146168708801,0.519926167189225,0.243881493806839,0.5349117517471313,0.5440716804066265,0.2781146168708801,0.5226815042334374,0.9315871000289917,0.918976902961731,11,10,9,0,38,12,0,2,24
1079815,0-20,False,-0.004635734404787189,0.36527112126350403,0.6810902164667288,-0.002486160956323147,0.5363035798072815,1.0046356969491999,0.36527112126350403,0.6851132387926497,0.9332854747772217,0.7881413698196411,10,8,12,0,36,14,0,2,31
637234,0-20,True,0.11068295134375794,0.2161577343940735,0.3465157136836011,0.06904441863298416,0.6238035559654236,0.8893169414935943,0.2161577343940735,0.8681902349805741,0.9742544293403625,0.8227590322494507,11,11,13,0,37,13,0,2,29
839878,0-20,True,0.10904019206182652,0.38593271374702454,0.5138831249540277,0.08189056068658829,0.7510126233100891,0.8909599010175125,0.38593271374702454,0.7503738344632079,0.9221749901771545,0.7016658782958984,13,15,14,0,43,18,0,3,40
1100218,0-20,True,0.05301578249374355,0.15342378616333008,0.17744264516379363,0.045839499682188034,0.8646387457847595,0.9469842455130492,0.15342378616333008,0.9660809211638729,0.9871800541877747,0.6530145406723022,12,11,14,0,34,12,0,2,31
1089164,0-20,True,0.14552613792161498,0.3111669421195984,0.4756720049348398,0.09519778937101364,0.6541628241539001,0.8544739525565791,0.3111669421195984,0.7634187125543281,0.9470562934875488,0.795366644859314,8,7,10,0,35,11,0,2,31
550331,0-20,True,0.6094206976282162,0.5447107553482056,0.8641588896516683,0.3841400146484375,0.630336344242096,0.39057932738862905,0.5447107553482056,0.16963012160472146,0.7778633236885071,0.8213388323783875,8,9,10,0,26,13,0,2,30
859274,0-20,True,0.03020815832914163,0.22146855294704437,0.3119640568777805,0.02144528180360794,0.709916889667511,0.9697917843180968,0.22146853804588318,0.9062248088526361,0.9752459526062012,0.7384793758392334,14,12,15,0,59,18,0,3,57
910818,0-20,True,0.19916357117061342,0.44949477910995483,0.7940127420711268,0.11274754256010056,0.5661052465438843,0.8008363152692447,0.44949477910995483,0.5042784318317267,0.8926212787628174,0.796210765838623,9,11,10,0,31,14,0,1,27
653054,0-20,True,0.5343516426991312,0.36246320605278015,0.5069696278748012,0.38204026222229004,0.7149603962898254,0.46564836540002064,0.36246320605278015,0.4575919474593029,0.861332893371582,0.8788923621177673,12,7,12,0,39,11,0,2,31
316803,0-20,True,0.17181998632332146,0.33731505274772644,0.6188962244547473,0.09364650398492813,0.5450268387794495,0.8281799615088538,0.33731505274772644,0.6416621966159783,0.9387244582176208,0.8412371873855591,15,8,17,0,43,12,0,3,44
1093881,0-20,True,0.05972707627680271,0.13682880997657776,0.34034528729180896,0.024012040346860886,0.4020293951034546,0.9402728787983974,0.13682880997657776,0.8841590744184394,0.9903507232666016,0.9191904067993164,11,12,13,0,35,13,6,2,30
234651,0-20,True,0.34760518167286875,0.35299262404441833,0.5639099394578222,0.21759159862995148,0.6259734034538269,0.652394801970785,0.35299262404441833,0.5723659940673456,0.9140250086784363,0.8543102741241455,7,9,9,0,38,15,0,2,27
1100732,0-20,True,0.04641491378733885,0.2092340737581253,0.2637482503135404,0.036821406334638596,0.7933098077774048,0.9535850464740524,0.2092340737581253,0.9289365462737992,0.9774326086044312,0.6919732689857483,10,8,10,0,35,12,0,2,27
992193,0-20,True,0.20149038777445766,0.3175237774848938,0.39959040064566287,0.16010892391204834,0.7946231365203857,0.798509548576122,0.3175238072872162,0.7997309831217386,0.9367718696594238,0.748285174369812,26,29,29,0,82,33,0,6,69
831052,0-20,True,0.321997370550496,0.36161088943481445,0.6681916460502351,0.1742580235004425,0.5411784052848816,0.678002676849808,0.36161088943481445,0.5072876311173715,0.9194358587265015,0.8673034906387329,8,6,9,0,31,10,0,2,24
994085,0-20,True,0.20530630760465904,0.34003469347953796,0.38909827064147223,0.17941808700561523,0.8739044070243835,0.7946936332183712,0.34003469347953796,0.806628428036676,0.9260928630828857,0.7010326385498047,15,20,19,0,70,23,0,4,65
594930,0-20,True,0.20468973620915815,0.398639053106308,0.6401663557739384,0.12746268510818481,0.6227116584777832,0.795310203455494,0.398639053106308,0.6068303825091684,0.9124200940132141,0.7979076504707336,13,12,15,0,54,17,0,4,46
65770,0-20,True,0.7774785445824515,0.26279041171073914,0.4611278194301039,0.4430743455886841,0.5698862671852112,0.22252138910950553,0.26279041171073914,0.188880152864924,0.8673131465911865,0.9574300050735474,11,8,11,0,28,12,0,3,18
