dataset,docs_size,num_bands,exp_tag,exp_type,block,doc_lang,query_lang_a,query_lang_b,pair,doc_mix,method,model,result_kind,result_variant,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,gte-multilingual-base,vector_mix,,80.4401,80.6683,0.22820000000000107,90.0,0.020247352734766372,0.6577773309060717,-0.023671707203846277,0.7571181174739636,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,jina-embeddings-v3,vector_mix,,75.7949,76.9024,1.1075000000000017,70.0,0.5286703280401618,1.7114675061335902,0.42784044461770315,1.8425014277676748,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,multilingual-e5-large-instruct,vector_mix,,80.7874,81.7967,1.009299999999996,50.0,0.36868946401091807,1.8533503027829772,0.299668834130145,2.022154308411507,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-size,bilingual,size,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,Qwen3-Embedding-4B,vector_mix,,86.3944,87.0593,0.6648999999999887,70.0,0.26266488499640206,1.1195160039370209,0.1989188797803003,1.2098384071432704,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-size,bilingual,size,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,Qwen3-Embedding-8B,vector_mix,,87.8009,88.7105,0.9095999999999975,70.0,0.521506736757533,1.3167550139308286,0.43860483621303636,1.3957250693491678,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,Qwen3-Embedding-0.6B,vector_mix,,77.4272,78.8552,1.4279999999999973,30.0,0.9165546253768966,2.2726640834798273,0.8164503281744331,2.428910524572032,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,gte-multilingual-base,vector_mix,,74.8671,77.1143,2.2472000000000065,50.0,1.5198808142811928,2.7190612514123824,1.4166163294697633,2.8336026211171634,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,jina-embeddings-v3,vector_mix,,77.8591,78.8266,0.9675000000000011,30.0,0.46020400804708433,1.3864093205331982,0.37497461737467114,1.4659133554834265,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,multilingual-e5-large-instruct,vector_mix,,82.646,84.2793,1.6333000000000055,50.0,0.899246558712548,2.015216064368598,0.7904762102300807,2.1186766760740845,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-size,bilingual,size,de-nl,de,nl,DE-NL,DE + NL docs,embed,Qwen3-Embedding-4B,vector_mix,,84.9321,85.9521,1.019999999999996,30.0,0.6145108583092878,1.4805999844274567,0.5264215875672331,1.5592207716096875,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-en-ar-composition,bilingual,composition,en-ar,en,ar,EN-AR,EN + AR docs,embed,Qwen3-Embedding-0.6B,vector_mix,,86.5317,86.0996,-0.4321000000000055,10.0,-0.6567954833301911,-0.19933661817283985,-0.7021965703962423,-0.1570989826727897,en,ar,mismatch,1,1,H-H,0.3046,0.5482,1.0,1.0,bi,L1+L2 docs
