dataset,docs_size,num_bands,exp_tag,exp_type,block,doc_lang,query_lang_a,query_lang_b,pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,result_kind,result_variant,experiment_dir,source_file
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,0.0,67.4069,38.7148,1.005,65.7528,69.061,65.4355,69.3782,63.4732,81.8845,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0_dev_20260126-135751-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,0.0,72.4648,37.0632,0.9621,70.8813,74.0483,70.5776,74.3521,68.8967,85.1022,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0_dev_20260126-135938-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,0.0,76.2306,35.2692,0.9155,74.7238,77.7375,74.4347,78.0265,73.015,87.9717,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0_dev_20260126-135608-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,10.0,69.9667,37.6856,0.9783,68.3566,71.5768,68.0478,71.8856,66.1643,83.9061,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.1_dev_20260126-135800-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,10.0,73.2683,36.6548,0.9515,71.7022,74.8344,71.4018,75.1348,69.7456,85.7087,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.1_dev_20260126-135947-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,10.0,77.1506,34.7763,0.9027,75.6648,78.6364,75.3798,78.9214,74.0759,88.4771,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.1_dev_20260126-135621-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,30.0,74.5545,35.2902,0.9161,73.0467,76.0622,72.7575,76.3514,70.8386,87.7976,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.3_dev_20260126-135810-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,30.0,74.8236,35.2405,0.9148,73.318,76.3293,73.0292,76.618,71.0215,87.9885,jina-embeddings-v3,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3,mmarco-100000-bilingual-ar-zh-composition-5bands-jina-embeddings-v3/vector_mix/cm-alpha-0.3_dev_20260126-135955-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,30.0,78.9546,33.2482,0.8631,77.5341,80.3751,77.2616,80.6476,75.869,90.1954,multilingual-e5-large-instruct,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct,mmarco-100000-bilingual-ar-zh-composition-5bands-multilingual-e5-large-instruct/vector_mix/cm-alpha-0.3_dev_20260126-135634-agg.csv
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,50.0,78.7227,32.9377,0.855,77.3154,80.1299,77.0455,80.3998,75.2249,90.7963,gte-multilingual-base,vector_mix,,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base,mmarco-100000-bilingual-ar-zh-composition-5bands-gte-multilingual-base/vector_mix/cm-alpha-0.5_dev_20260126-135819-agg.csv
