pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
AR-HI,AR + HI docs,27.1137,28.2355,1.1217999999999968,70.0,0.5565953183541662,1.7316411195375312,0.43521073013309947,1.853726643155104,ar,hi,mismatch,1,1,H-L,0.2837131823613673,0.5412294272573258,1.0,1.0,bi,L1+L2 docs
AR-HI,AR docs,24.5283,25.7429,1.2145999999999972,30.0,0.6525478282934705,1.7965527546012101,0.5469817863104087,1.9087628500399891,ar,hi,mismatch,1,1,H-L,0.2837131823613673,0.5412294272573258,1.0,1.0,mono,L1 docs
AR-HI,HI docs,26.7959,27.5493,0.7533999999999992,70.0,0.2433966363530493,1.2695086239908635,0.14651259684994372,1.3915655929419852,ar,hi,mismatch,1,1,H-L,0.2837131823613673,0.5412294272573258,1.0,1.0,mono,L2 docs
AR-ID,AR + ID docs,28.5923,29.0158,0.4234999999999971,70.0,0.11639140945458895,1.0247549294247373,0.05770557646918519,1.1387243520082486,ar,id,mismatch,1,1,H-L,0.3060717923159134,0.432283109626882,1.0,1.0,bi,L1+L2 docs
AR-ID,AR docs,24.5283,26.5718,2.043499999999998,50.0,1.1928750041989524,2.886715345969798,1.028031424016745,3.0513850864518424,ar,id,mismatch,1,1,H-L,0.3060717923159134,0.432283109626882,1.0,1.0,mono,L1 docs
AR-ID,ID docs,28.4534,28.7247,0.2713000000000001,90.0,0.046581726167788245,0.7122456073788527,-0.0054832214265473096,0.8089022184492464,ar,id,mismatch,1,1,H-L,0.3060717923159134,0.432283109626882,1.0,1.0,mono,L2 docs
AR-PT,AR + PT docs,28.5855,29.2789,0.6934000000000005,70.0,0.16493571105569654,1.3447390537163348,0.08177456897089294,1.4649885390133213,ar,pt,mismatch,1,1,H-L,0.295785995948523,0.4660168636130211,1.0,1.0,bi,L1+L2 docs
AR-PT,AR docs,24.5283,26.2575,1.7291999999999987,50.0,1.065583496033838,2.522493976141531,0.9270257672972892,2.6647235354597085,ar,pt,mismatch,1,1,H-L,0.295785995948523,0.4660168636130211,1.0,1.0,mono,L1 docs
AR-PT,PT docs,28.7125,29.0111,0.2986000000000004,70.0,-0.011634312417248945,0.8549290421407993,-0.07087022402326867,0.9651342783245109,ar,pt,mismatch,1,1,H-L,0.295785995948523,0.4660168636130211,1.0,1.0,mono,L2 docs
AR-RU,AR + RU docs,27.4368,28.295,0.8582000000000001,70.0,0.39135950736285013,1.5901592871164758,0.3147127530440715,1.7501090860975623,ar,ru,mismatch,1,1,H-L,0.2911280393189044,0.5173748811807234,1.0,1.0,bi,L1+L2 docs
AR-RU,AR docs,24.5283,25.9028,1.3744999999999976,30.0,0.8386926854761774,2.0455511304190046,0.7201392764018021,2.160090530601305,ar,ru,mismatch,1,1,H-L,0.2911280393189044,0.5173748811807234,1.0,1.0,mono,L1 docs
AR-RU,RU docs,27.1639,27.7985,0.6345999999999989,70.0,0.23044661503902192,1.1191694055496304,0.1689088474481383,1.2075367154028998,ar,ru,mismatch,1,1,H-L,0.2911280393189044,0.5173748811807234,1.0,1.0,mono,L2 docs
AR-VI,AR + VI docs,26.4111,27.2921,0.8810000000000002,70.0,0.3762350453321339,1.7823569291063692,0.26629724489805756,1.949146356583133,ar,vi,mismatch,1,1,H-L,0.4158989815194788,0.5124707431905383,1.0,1.0,bi,L1+L2 docs
AR-VI,AR docs,24.5283,25.8812,1.3528999999999982,30.0,0.8075141247520267,1.9476380536073876,0.7147541155036776,2.064232703624982,ar,vi,mismatch,1,1,H-L,0.4158989815194788,0.5124707431905383,1.0,1.0,mono,L1 docs
AR-VI,VI docs,26.1947,26.7649,0.5701999999999998,70.0,0.1972282208515354,1.0793044300303938,0.13445781217593683,1.1621979216477691,ar,vi,mismatch,1,1,H-L,0.4158989815194788,0.5124707431905383,1.0,1.0,mono,L2 docs
