pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
AR-HI,AR + HI docs,embed,0.0,24.6651,34.7115,0.9011,23.1821,26.1482,22.8976,26.4326,20.4805,39.2352,bge-m3,mmarco-8841823-bilingual-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260202-161551-agg.csv
AR-HI,AR + HI docs,embed,10.0,25.5866,34.8846,0.9056,24.0962,27.0771,23.8103,27.3629,21.1203,41.1557,bge-m3,mmarco-8841823-bilingual-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260202-161603-agg.csv
AR-HI,AR + HI docs,embed,30.0,26.6417,35.1341,0.912,25.1406,28.1428,24.8527,28.4307,21.8793,43.0425,bge-m3,mmarco-8841823-bilingual-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260202-161614-agg.csv
AR-HI,AR + HI docs,embed,50.0,27.5981,35.7044,0.9268,26.0726,29.1236,25.7801,29.4162,22.924,43.5928,bge-m3,mmarco-8841823-bilingual-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260202-161626-agg.csv
AR-HI,AR + HI docs,embed,70.0,28.2355,36.247,0.9409,26.6868,29.7841,26.3898,30.0812,23.5153,44.4182,bge-m3,mmarco-8841823-bilingual-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260202-161638-agg.csv
AR-HI,AR + HI docs,embed,90.0,27.3179,36.0173,0.935,25.7791,28.8568,25.4839,29.1519,22.7971,42.7561,bge-m3,mmarco-8841823-bilingual-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260202-161650-agg.csv
AR-HI,AR + HI docs,embed,100.0,27.1137,36.129,0.9379,25.5701,28.6573,25.274,28.9534,22.7003,42.1945,bge-m3,mmarco-8841823-bilingual-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260202-161702-agg.csv
AR-HI,AR docs,embed,0.0,24.5283,34.8336,0.9042,23.04,26.0165,22.7545,26.302,20.4433,38.7298,bge-m3,mmarco-8841823-arabic-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-165415-agg.csv
AR-HI,AR docs,embed,10.0,25.0651,34.7574,0.9023,23.5801,26.5501,23.2953,26.8349,20.7369,40.1449,bge-m3,mmarco-8841823-arabic-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-165434-agg.csv
AR-HI,AR docs,embed,30.0,25.7429,34.9625,0.9076,24.2491,27.2367,23.9626,27.5232,21.168,41.3241,bge-m3,mmarco-8841823-arabic-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-165451-agg.csv
AR-HI,AR docs,embed,50.0,25.3532,34.7172,0.9012,23.87,26.8365,23.5855,27.121,20.9192,40.6278,bge-m3,mmarco-8841823-arabic-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-165513-agg.csv
AR-HI,AR docs,embed,70.0,23.4289,34.1524,0.8866,21.9697,24.888,21.6899,25.1679,19.4375,37.3484,bge-m3,mmarco-8841823-arabic-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-165529-agg.csv
AR-HI,AR docs,embed,90.0,19.4642,32.4026,0.8411,18.0798,20.8486,17.8143,21.1142,16.1419,31.0142,bge-m3,mmarco-8841823-arabic-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-165544-agg.csv
AR-HI,AR docs,embed,100.0,17.4454,31.2655,0.8116,16.1096,18.7812,15.8534,19.0374,14.5152,27.7796,bge-m3,mmarco-8841823-arabic-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-165602-agg.csv
AR-HI,HI docs,embed,0.0,15.4383,29.6571,0.7699,14.1712,16.7054,13.9282,16.9485,12.6009,25.073,bge-m3,mmarco-8841823-hindi-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-093638-agg.csv
AR-HI,HI docs,embed,10.0,18.1235,31.6307,0.8211,16.772,19.4749,16.5128,19.7341,14.9801,28.9814,bge-m3,mmarco-8841823-hindi-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-093648-agg.csv
AR-HI,HI docs,embed,30.0,23.1896,34.3579,0.8919,21.7217,24.6575,21.4401,24.9391,19.2447,36.8655,bge-m3,mmarco-8841823-hindi-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-093658-agg.csv
AR-HI,HI docs,embed,50.0,26.3604,35.6963,0.9266,24.8353,27.8856,24.5428,28.1781,22.0172,41.3354,bge-m3,mmarco-8841823-hindi-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-093708-agg.csv
AR-HI,HI docs,embed,70.0,27.5493,36.2491,0.941,26.0006,29.098,25.7035,29.3951,22.997,43.0705,bge-m3,mmarco-8841823-hindi-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-093717-agg.csv
AR-HI,HI docs,embed,90.0,26.9625,35.989,0.9342,25.4249,28.5002,25.13,28.7951,22.4835,42.0934,bge-m3,mmarco-8841823-hindi-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-093727-agg.csv
AR-HI,HI docs,embed,100.0,26.7959,36.1214,0.9377,25.2526,28.3391,24.9566,28.6351,22.4219,41.5544,bge-m3,mmarco-8841823-hindi-ar-hi-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-093740-agg.csv
AR-ID,AR + ID docs,embed,0.0,24.7312,34.7927,0.9032,23.2447,26.2177,22.9596,26.5029,20.5495,39.2913,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260202-164820-agg.csv
AR-ID,AR + ID docs,embed,10.0,25.4852,34.9866,0.9082,23.9904,26.98,23.7037,27.2667,21.1078,40.6727,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260202-164832-agg.csv
AR-ID,AR + ID docs,embed,30.0,26.619,35.4516,0.9203,25.1043,28.1336,24.8138,28.4242,22.1711,42.0204,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260202-164843-agg.csv
AR-ID,AR + ID docs,embed,50.0,28.3799,36.0862,0.9368,26.8381,29.9216,26.5424,30.2174,23.6178,44.7945,bge-m3,mmarco-8841823-bilingual-ar-id-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260202-164854-agg.csv
