pair,doc_mix,mix_ratio,method,metric,mean,dataset,docs_size,model,source_file
EN-ZH,EN + ZH docs,0.0,embed,ndcg@10,0.8502023481253314,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251011-223340-agg.csv
EN-ZH,EN + ZH docs,10.0,embed,ndcg@10,0.8488892095636467,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251011-223402-agg.csv
EN-ZH,EN + ZH docs,30.0,embed,ndcg@10,0.8415895234696964,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251011-223422-agg.csv
EN-ZH,EN + ZH docs,50.0,embed,ndcg@10,0.8275830364962334,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251011-223443-agg.csv
EN-ZH,EN + ZH docs,70.0,embed,ndcg@10,0.8152755948019252,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251011-223505-agg.csv
EN-ZH,EN + ZH docs,90.0,embed,ndcg@10,0.8009636103144684,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251011-223526-agg.csv
EN-ZH,EN + ZH docs,100.0,embed,ndcg@10,0.7914587220598633,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251011-223548-agg.csv
EN-ZH,EN + ZH docs,0.0,embed,mrr@10,0.821025863175459,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251011-223340-agg.csv
EN-ZH,EN + ZH docs,10.0,embed,mrr@10,0.8187147028622771,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251011-223402-agg.csv
EN-ZH,EN + ZH docs,30.0,embed,mrr@10,0.8105894087194632,mmarco,100000,bge-m3,mmarco-100000-bilingual-en-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251011-223422-agg.csv
