pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
EN-VI,EN + VI docs,embed,0.0,85.6818,27.3642,1.2035,83.6987,87.6649,83.3175,88.0461,82.8584,95.1644,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0_dev_20260414-105324-agg.csv
EN-VI,EN + VI docs,embed,10.0,85.6372,27.3678,1.2036,83.6538,87.6206,83.2726,88.0018,82.7368,95.3578,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.1_dev_20260414-105339-agg.csv
EN-VI,EN + VI docs,embed,30.0,85.6322,27.8542,1.225,83.6136,87.6508,83.2255,88.0388,83.035,94.7776,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.3_dev_20260414-105354-agg.csv
EN-VI,EN + VI docs,embed,50.0,82.9369,29.559,1.3,80.7947,85.0791,80.383,85.4908,79.7993,93.9072,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.5_dev_20260414-105409-agg.csv
EN-VI,EN + VI docs,embed,70.0,80.5633,31.6288,1.391,78.2711,82.8554,77.8305,83.296,77.374,92.2147,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.7_dev_20260414-105424-agg.csv
EN-VI,EN + VI docs,embed,90.0,78.2693,34.0319,1.4967,75.803,80.7357,75.3289,81.2098,75.058,89.7002,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.9_dev_20260414-105439-agg.csv
EN-VI,EN + VI docs,embed,100.0,76.6031,35.2368,1.5497,74.0495,79.1567,73.5586,79.6476,73.3336,88.0561,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-1_dev_20260414-105455-agg.csv
EN-VI,EN + VI docs,word,0.0,85.7022,27.4936,1.2092,83.7097,87.6947,83.3267,88.0777,82.9423,94.971,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/cm0_base_dev_20260414-105128-agg.csv
EN-VI,EN + VI docs,word,10.0,82.0375,30.8659,1.3575,79.8006,84.2743,79.3706,84.7043,78.921,92.6499,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/cm0-20_base_dev_20260414-105140-agg.csv
EN-VI,EN + VI docs,word,30.0,81.9916,30.7538,1.3526,79.7629,84.2204,79.3344,84.6488,78.9032,92.8917,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/cm20-40_base_dev_20260414-105152-agg.csv
EN-VI,EN + VI docs,word,50.0,80.5477,32.2817,1.4197,78.2082,82.8872,77.7585,83.3369,77.2779,91.5861,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/cm40-60_base_dev_20260414-105204-agg.csv
EN-VI,EN + VI docs,word,70.0,79.3711,33.1816,1.4593,76.9664,81.7758,76.5042,82.2381,76.4097,90.3288,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/cm60-80_base_dev_20260414-105216-agg.csv
EN-VI,EN + VI docs,word,90.0,77.7352,34.3502,1.5107,75.2458,80.2245,74.7672,80.7031,74.545,89.1683,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/cm80-100_base_dev_20260414-105227-agg.csv
EN-VI,EN + VI docs,word,100.0,76.5192,35.2394,1.5498,73.9654,79.073,73.4745,79.5639,73.2353,88.0561,word-mix-bge-m3,mmarco-100000-bilingual-en-vi-word-mix-bge-m3/cm100_base_dev_20260414-105243-agg.csv
EN-VI,EN docs,embed,0.0,85.9585,27.1574,1.1944,83.9904,87.9267,83.6121,88.305,83.1811,95.3578,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0_dev_20260414-110320-agg.csv
EN-VI,EN docs,embed,10.0,85.8031,27.2888,1.2002,83.8255,87.7808,83.4453,88.1609,82.9598,95.3578,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.1_dev_20260414-110331-agg.csv
EN-VI,EN docs,embed,30.0,85.8174,28.1464,1.2379,83.7776,87.8572,83.3855,88.2493,83.2907,94.294,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.3_dev_20260414-110342-agg.csv
EN-VI,EN docs,embed,50.0,83.1686,29.7996,1.3106,81.009,85.3282,80.5939,85.7434,80.1579,93.8104,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.5_dev_20260414-110353-agg.csv
EN-VI,EN docs,embed,70.0,78.9299,34.0372,1.497,76.4632,81.3966,75.9891,81.8708,76.0255,89.3617,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.7_dev_20260414-110403-agg.csv
EN-VI,EN docs,embed,90.0,69.3832,38.7779,1.7054,66.573,72.1935,66.0328,72.7337,65.817,82.0116,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.9_dev_20260414-110414-agg.csv
EN-VI,EN docs,embed,100.0,63.7082,40.7342,1.7915,60.7562,66.6602,60.1887,67.2277,59.4819,77.4662,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-1_dev_20260414-110424-agg.csv
EN-VI,EN docs,word,0.0,86.0529,27.123,1.1929,84.0873,88.0186,83.7095,88.3964,83.2983,95.3578,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/cm0_dev_20260414-110458-agg.csv
EN-VI,EN docs,word,10.0,80.7225,32.1072,1.4121,78.3957,83.0494,77.9484,83.4967,77.5205,91.4894,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/cm0-20_dev_20260414-110508-agg.csv
EN-VI,EN docs,word,30.0,79.2648,33.5857,1.4771,76.8308,81.6988,76.363,82.1667,76.2685,89.942,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/cm20-40_dev_20260414-110518-agg.csv
EN-VI,EN docs,word,50.0,74.2157,36.2903,1.596,71.5857,76.8457,71.0802,77.3513,70.4042,87.0406,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/cm40-60_dev_20260414-110528-agg.csv
EN-VI,EN docs,word,70.0,73.3268,36.9412,1.6247,70.6496,76.0039,70.135,76.5186,69.6818,85.9768,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/cm60-80_dev_20260414-110538-agg.csv
EN-VI,EN docs,word,90.0,69.6322,38.6116,1.6981,66.834,72.4304,66.2961,72.9683,65.7866,83.1721,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/cm80-100_dev_20260414-110547-agg.csv
EN-VI,EN docs,word,100.0,63.6288,40.7867,1.7938,60.6729,66.5846,60.1047,67.1528,59.4693,77.2727,word-mix-bge-m3,mmarco-100000-english-en-vi-word-mix-bge-m3/cm100_dev_20260414-110558-agg.csv
EN-VI,VI docs,embed,0.0,67.9146,39.2197,1.7249,65.0724,70.7569,64.526,71.3033,64.14,81.528,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0_dev_20260414-104937-agg.csv
EN-VI,VI docs,embed,10.0,71.6785,37.5013,1.6493,68.9607,74.3962,68.4383,74.9186,68.0572,84.8646,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.1_dev_20260414-104947-agg.csv
EN-VI,VI docs,embed,30.0,76.3725,34.5804,1.5208,73.8664,78.8785,73.3847,79.3603,72.8371,88.8298,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.3_dev_20260414-104957-agg.csv
EN-VI,VI docs,embed,50.0,78.1124,33.4665,1.4719,75.6871,80.5377,75.2208,81.004,74.8136,89.7969,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.5_dev_20260414-105007-agg.csv
EN-VI,VI docs,embed,70.0,78.57,33.647,1.4798,76.1316,81.0085,75.6629,81.4772,75.3448,89.7969,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.7_dev_20260414-105018-agg.csv
EN-VI,VI docs,embed,90.0,77.3343,34.7618,1.5288,74.815,79.8535,74.3308,80.3377,74.1328,88.7331,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-0.9_dev_20260414-105028-agg.csv
EN-VI,VI docs,embed,100.0,75.9144,35.5483,1.5634,73.3382,78.4906,72.843,78.9859,72.5707,87.4758,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/vector_mix/cm-alpha-1_dev_20260414-105039-agg.csv
EN-VI,VI docs,word,0.0,67.8487,39.2313,1.7254,65.0056,70.6918,64.459,71.2383,64.0917,81.4636,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/cm0_dev_20260414-110022-agg.csv
EN-VI,VI docs,word,10.0,68.6545,38.9817,1.7144,65.8295,71.4795,65.2864,72.0226,64.8168,82.205,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/cm0-20_dev_20260414-110033-agg.csv
EN-VI,VI docs,word,30.0,71.1123,37.3328,1.6419,68.4068,73.8179,67.8867,74.338,67.4471,84.381,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/cm20-40_dev_20260414-110044-agg.csv
EN-VI,VI docs,word,50.0,72.4698,37.2212,1.637,69.7723,75.1672,69.2538,75.6857,68.8818,84.7679,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/cm40-60_dev_20260414-110055-agg.csv
EN-VI,VI docs,word,70.0,71.8605,37.5398,1.651,69.1399,74.581,68.6169,75.104,68.4131,84.1231,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/cm60-80_dev_20260414-110105-agg.csv
EN-VI,VI docs,word,90.0,73.1137,37.2873,1.6399,70.4114,75.8159,69.892,76.3354,69.8167,84.7195,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/cm80-100_dev_20260414-110114-agg.csv
EN-VI,VI docs,word,100.0,75.8939,35.5876,1.5651,73.3149,78.473,72.8191,78.9687,72.6645,87.4758,word-mix-bge-m3,mmarco-100000-vietnamese-en-vi-word-mix-bge-m3/cm100_dev_20260414-110125-agg.csv
EN-ZH,EN + ZH docs,embed,0.0,84.9326,27.6673,0.7182,83.7505,86.1147,83.5238,86.3414,81.9951,95.1988,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0_dev_20260414-104755-agg.csv
EN-ZH,EN + ZH docs,embed,10.0,84.8982,27.6785,0.7185,83.7156,86.0807,83.4888,86.3075,81.8967,95.3336,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.1_dev_20260414-104812-agg.csv
EN-ZH,EN + ZH docs,embed,30.0,84.1674,28.2795,0.7341,82.9591,85.3756,82.7274,85.6073,81.0239,95.0303,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.3_dev_20260414-104829-agg.csv
EN-ZH,EN + ZH docs,embed,50.0,82.6423,29.3321,0.7614,81.3891,83.8955,81.1487,84.1359,79.3265,94.2666,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.5_dev_20260414-104845-agg.csv
EN-ZH,EN + ZH docs,embed,70.0,81.5471,30.3571,0.788,80.2501,82.8441,80.0013,83.0929,78.2091,93.2221,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.7_dev_20260414-104901-agg.csv
EN-ZH,EN + ZH docs,embed,90.0,80.0698,31.9076,0.8283,78.7065,81.433,78.4451,81.6945,76.7743,91.7734,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.9_dev_20260414-104918-agg.csv
EN-ZH,EN + ZH docs,embed,100.0,79.0836,32.6988,0.8488,77.6865,80.4806,77.4186,80.7486,75.7682,90.8637,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-1_dev_20260414-104934-agg.csv
EN-ZH,EN + ZH docs,word,0.0,84.9205,27.6791,0.7185,83.7379,86.1031,83.5111,86.3299,81.9802,95.1988,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/cm0_base_dev_20260414-104710-agg.csv
EN-ZH,EN + ZH docs,word,10.0,82.4998,29.4546,0.7646,81.2413,83.7582,81.0,83.9996,79.0701,94.1487,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/cm0-20_base_dev_20260414-104723-agg.csv
EN-ZH,EN + ZH docs,word,30.0,81.8183,30.6605,0.7959,80.5084,83.1283,80.2571,83.3796,78.6141,93.0705,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/cm20-40_base_dev_20260414-104736-agg.csv
EN-ZH,EN + ZH docs,word,50.0,79.7579,31.7882,0.8252,78.3998,81.1161,78.1393,81.3766,76.2232,91.9474,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/cm40-60_base_dev_20260414-104749-agg.csv
EN-ZH,EN + ZH docs,word,70.0,78.6118,32.8358,0.8524,77.2089,80.0147,76.9398,80.2838,75.1161,90.976,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/cm60-80_base_dev_20260414-104802-agg.csv
EN-ZH,EN + ZH docs,word,90.0,78.5735,32.9297,0.8548,77.1665,79.9804,76.8967,80.2502,75.1177,90.611,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/cm80-100_base_dev_20260414-104816-agg.csv
EN-ZH,EN + ZH docs,word,100.0,79.0778,32.6876,0.8485,77.6812,80.4744,77.4133,80.7422,75.7455,90.8637,word-mix-bge-m3,mmarco-100000-bilingual-en-zh-word-mix-bge-m3/cm100_base_dev_20260414-104834-agg.csv
EN-ZH,EN docs,embed,0.0,85.246,27.2874,0.7083,84.0802,86.4119,83.8565,86.6355,82.3554,95.4346,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0_dev_20260414-104621-agg.csv
EN-ZH,EN docs,embed,10.0,85.3409,27.271,0.7079,84.1757,86.5061,83.9523,86.7295,82.4341,95.502,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.1_dev_20260414-104633-agg.csv
EN-ZH,EN docs,embed,30.0,84.7606,27.8833,0.7238,83.5693,85.9519,83.3408,86.1804,81.7885,95.064,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.3_dev_20260414-104645-agg.csv
EN-ZH,EN docs,embed,50.0,83.6623,29.0794,0.7549,82.4199,84.9047,82.1816,85.143,80.5928,94.334,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.5_dev_20260414-104656-agg.csv
EN-ZH,EN docs,embed,70.0,80.1646,31.7642,0.8246,78.8074,81.5217,78.5471,81.782,76.9846,91.7397,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.7_dev_20260414-104708-agg.csv
EN-ZH,EN docs,embed,90.0,72.5528,36.1265,0.9378,71.0093,74.0963,70.7132,74.3923,68.4927,86.5341,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-0.9_dev_20260414-104719-agg.csv
EN-ZH,EN docs,embed,100.0,67.2473,38.6668,1.0037,65.5952,68.8993,65.2784,69.2162,63.046,82.1316,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/vector_mix/cm-alpha-1_dev_20260414-104731-agg.csv
EN-ZH,EN docs,word,0.0,85.2532,27.2758,0.708,84.0878,86.4185,83.8643,86.642,82.3277,95.4346,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/cm0_dev_20260414-110123-agg.csv
EN-ZH,EN docs,word,10.0,81.1859,31.3895,0.8148,79.8448,82.5271,79.5876,82.7843,77.9194,92.3518,word-mix-bge-m3,mmarco-100000-english-en-zh-word-mix-bge-m3/cm0-20_dev_20260414-110134-agg.csv
