pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
EN-VI,EN + VI docs,85.7022,85.6372,-0.06499999999999773,10.0,,,,,en,vi,match,1,0,H-L,0.2793316072859799,0.4550502247782184,0.6666666666666667,1.0,bi,L1+L2 docs
EN-VI,EN docs,86.0529,85.8174,-0.2354999999999876,30.0,,,,,en,vi,match,1,0,H-L,0.2793316072859799,0.4550502247782184,0.6666666666666667,1.0,mono,L1 docs
EN-VI,VI docs,75.9144,78.57,2.6555999999999926,70.0,,,,,en,vi,match,1,0,H-L,0.2793316072859799,0.4550502247782184,0.6666666666666667,1.0,mono,L2 docs
EN-ZH,EN + ZH docs,84.9326,84.8982,-0.03439999999999088,10.0,,,,,en,zh,mismatch,1,0,H-H,0.3315539545840974,0.5318160234783105,0.8,1.0,bi,L1+L2 docs
EN-ZH,EN docs,85.2532,85.3409,0.08769999999999811,10.0,,,,,en,zh,mismatch,1,0,H-H,0.3315539545840974,0.5318160234783105,0.8,1.0,mono,L1 docs
EN-ZH,ZH docs,78.2634,80.0507,1.7873000000000019,70.0,,,,,en,zh,mismatch,1,0,H-H,0.3315539545840974,0.5318160234783105,0.8,1.0,mono,L2 docs
HI-ID,HI + ID docs,80.5815,81.3055,0.7239999999999895,50.0,,,,,hi,id,mismatch,1,1,L-L,0.3624232869366617,0.3892494720807615,0.5,1.0,bi,L1+L2 docs
HI-ID,HI docs,77.892,78.9305,1.038499999999999,30.0,,,,,hi,id,mismatch,1,1,L-L,0.3624232869366617,0.3892494720807615,0.5,1.0,mono,L1 docs
HI-ID,ID docs,80.2359,80.7748,0.5388999999999982,90.0,,,,,hi,id,mismatch,1,1,L-L,0.3624232869366617,0.3892494720807615,0.5,1.0,mono,L2 docs
ZH-VI,VI docs,71.7303,73.9798,2.2494999999999976,70.0,,,,,zh,vi,mismatch,1,0,H-L,0.3820224719101123,0.3481553119113956,0.6666666666666667,1.0,mono,L2 docs
ZH-VI,ZH + VI docs,74.4443,74.917,0.47270000000000323,70.0,,,,,zh,vi,mismatch,1,0,H-L,0.3820224719101123,0.3481553119113956,0.6666666666666667,1.0,bi,L1+L2 docs
ZH-VI,ZH docs,74.3215,75.0703,0.7488000000000028,10.0,,,,,zh,vi,mismatch,1,0,H-L,0.3820224719101123,0.3481553119113956,0.6666666666666667,1.0,mono,L1 docs
